agency_code,ni_effect3,eff_effect3,he_effect3,ni_pct_effect3,eff_pct_effect3,he_pct_effect3
230328,6,43,7,0.1071428582,0.7678571343,0.125
230330,9,3,4,0.5625,0.1875,0.25
230334,3,7,3,0.2307692319,0.5384615660000001,0.2307692319
230336,2,25,4,0.0645161271,0.8064516187,0.1290322542
230340,1,21,14,0.027777778,0.5833333135000001,0.3888888955
230342,3,17,3,0.1304347813,0.7391304374,0.1304347813
230344,0,16,6,0.0,0.7272727489,0.2727272809
230346,5,16,4,0.200000003,0.6399999857,0.1599999964
230348,0,13,14,0.0,0.4814814925,0.5185185075
230350,8,33,29,0.1142857149,0.4714285731,0.4142857194
230351,4,25,10,0.1025641039,0.6410256624,0.2564102709
230352,3,30,9,0.0714285746,0.7142857313,0.2142857164
230355,3,17,4,0.125,0.7083333135,0.1666666716
230357,1,16,7,0.0416666679,0.6666666864999999,0.2916666567
230359,0,5,7,0.0,0.4166666567,0.5833333135000001
230361,23,15,11,0.4693877697,0.306122452,0.2244897932
230362,2,10,19,0.0645161271,0.3225806355,0.6129032373
230364,0,25,10,0.0,0.7142857313,0.2857142985
230368,5,28,10,0.1162790731,0.6511628032,0.2325581461
230370,2,21,6,0.068965517,0.7241379023000001,0.2068965584
230376,5,19,3,0.1851851791,0.7037037015000001,0.1111111119
230380,0,14,5,0.0,0.7368420959,0.2631579041
240304,0,5,2,0.0,0.7142857313,0.2857142985
240308,2,14,6,0.0909090936,0.6363636254999999,0.2727272809
240328,7,12,1,0.349999994,0.6000000238000001,0.050000000700000005
240332,6,12,1,0.3157894611,0.6315789223,0.0526315793
240334,7,22,0,0.2413793057,0.7586206794,0.0
240344,2,18,2,0.0909090936,0.8181818128,0.0909090936
240352,1,2,5,0.125,0.25,0.625
240354,0,23,3,0.0,0.8846153617,0.115384616
240356,1,10,3,0.0714285746,0.7142857313,0.2142857164
240368,1,7,0,0.125,0.875,0.0
240370,2,10,6,0.1111111119,0.555555582,0.3333333433
240371,8,34,3,0.1777777821,0.7555555701000001,0.06666667009999999
240372,4,19,5,0.1428571492,0.678571403,0.1785714328
240373,2,6,6,0.1428571492,0.4285714328,0.4285714328
240376,2,5,4,0.1818181872,0.4545454681,0.3636363745
240380,3,20,11,0.0882352963,0.5882353187,0.3235294223
