agency_code,count_ALL_PK_ENROLL,count_AM7_PK_ENROLL,count_AS7_PK_ENROLL,count_BL7_PK_ENROLL,count_ELS_PK_ENROLL,count_FEM_PK_ENROLL,count_HI7_PK_ENROLL,count_MALE_PK_ENROLL,count_MU7_PK_ENROLL,count_PI7_PK_ENROLL,count_SWD_PK_ENROLL,count_WH7_PK_ENROLL
260375,16.0,,,7.0,0.0,7.0,3.0,9.0,1.0,,0.0,5.0
260382,15.0,,,7.0,0.0,9.0,2.0,6.0,2.0,,0.0,4.0
260396,17.0,1.0,,5.0,0.0,12.0,4.0,5.0,,,0.0,7.0
260398,31.0,,,13.0,0.0,14.0,8.0,17.0,3.0,,0.0,7.0
260400,15.0,1.0,,6.0,0.0,3.0,5.0,12.0,2.0,,0.0,1.0
260402,2.0,,,1.0,0.0,,,2.0,,,0.0,1.0
260403,28.0,,1.0,10.0,0.0,13.0,3.0,15.0,4.0,,0.0,10.0
260404,16.0,,,7.0,0.0,9.0,7.0,7.0,,,0.0,2.0
260407,31.0,,,17.0,0.0,16.0,6.0,15.0,,1.0,0.0,7.0
260410,16.0,,5.0,7.0,0.0,5.0,2.0,11.0,,,0.0,2.0
